기준년월,지역,방문자수,전년동월방문자수,방문자수증감률
202408,세종,2345756.0,2212802.0,6.0
202409,세종,2514942.0,2478486.0,1.5
202410,세종,2371926.0,2395946.0,-1.0
202411,세종,2242244.0,2185176.0,2.6
202412,세종,2241348.0,2161842.0,3.7
202501,세종,2328333.0,2244179.0,3.8
202502,세종,2115362.0,2081051.0,1.6
202503,세종,2696484.0,2690496.0,0.2
202504,세종,2242636.0,2173804.0,3.2
202505,세종,2863542.0,2314770.0,23.7
202506,세종,2409796.0,2207464.0,9.2
202507,세종,2489851.0,2183846.0,14.0
202508,세종,2605267.0,2293084.0,13.6
202509,세종,2557275.0,2455240.0,4.2
202510,세종,2787890.0,2419014.0,15.2
202511,세종,2528068.0,2105145.0,20.1
202512,세종,2503879.0,2236952.0,11.9
202301,울산,4227856.0,3159408.0,33.8
202302,울산,3567974.0,3332346.0,7.1
202303,울산,4297657.0,3881640.0,10.7
202304,울산,3728946.0,3178290.0,17.3
202305,울산,4282096.0,3397219.0,26.0
202306,울산,3935680.0,3294207.0,19.5
202307,울산,4207273.0,3665564.0,14.8
202308,울산,4263844.0,3719037.0,14.6
202309,울산,4400263.0,3871354.0,13.7
202310,울산,4316970.0,3858267.0,11.9
202311,울산,3833921.0,3630480.0,5.6
202312,울산,3969553.0,3692266.0,7.5
202401,울산,4080860.0,3862282.0,5.7
202402,울산,4078756.0,3269906.0,24.7
202403,울산,4381202.0,3832140.0,14.3
202404,울산,3742526.0,3518260.0,6.4
202405,울산,4200990.0,4070675.0,3.2
202406,울산,4054438.0,3751818.0,8.1
202407,울산,4246560.0,4129534.0,2.8
202408,울산,4476150.0,4157220.0,7.7
202409,울산,4388674.0,4108692.0,6.8
202410,울산,4196966.0,4411883.0,-4.9
202411,울산,3989556.0,3741521.0,6.6
202412,울산,4100212.0,3828062.0,7.1
202501,울산,4449204.0,4227856.0,5.2
202502,울산,3724864.0,3567974.0,4.4
202503,울산,4375780.0,4297657.0,1.8
202504,울산,3717553.0,3728946.0,-0.3
202505,울산,4965352.0,4282096.0,16.0
202506,울산,4249840.0,3935680.0,8.0
202507,울산,4603697.0,4207273.0,9.4
202508,울산,4643642.0,4263844.0,8.9
202509,울산,4246564.0,4400263.0,-3.5
202510,울산,5081713.0,4316970.0,17.7
202511,울산,4393326.0,3833921.0,14.6
202512,울산,4230695.0,3969553.0,6.6
202301,인천,14079590.0,9594750.0,46.7
202302,인천,13018884.0,10380874.0,25.4
202303,인천,15411358.0,11998136.0,28.4
202304,인천,13465466.0,10670740.0,26.2
202305,인천,15536388.0,11897788.0,30.6
202306,인천,13956943.0,11255262.0,24.0
202307,인천,15029458.0,11092154.0,35.5
202308,인천,14945406.0,11266524.0,32.6
202309,인천,15726382.0,12437638.0,26.4
202310,인천,15355025.0,12355444.0,24.3
202311,인천,13630480.0,11359173.0,20.0
202312,인천,14953648.0,11211067.0,33.4
202401,인천,14453061.0,11538968.0,25.2
202402,인천,14805326.0,9861299.0,50.1
202403,인천,16074121.0,11605394.0,38.5
202404,인천,13695605.0,13028172.0,5.1
202405,인천,14948465.0,13286854.0,12.5
202406,인천,14347988.0,12327273.0,16.4
202407,인천,14459848.0,13940486.0,3.7
202408,인천,15299494.0,13734133.0,11.4
202409,인천,15702242.0,14614425.0,7.4
202410,인천,15178954.0,14407522.0,5.4
202411,인천,13933272.0,13095092.0,6.4
202412,인천,14421172.0,13403887.0,7.6
202501,인천,15377296.0,14079590.0,9.2
202502,인천,13275546.0,13018884.0,2.0
202503,인천,16062410.0,15411358.0,4.2
202504,인천,13153802.0,13465466.0,-2.3
202505,인천,17314686.0,15536388.0,11.4
202506,인천,15115940.0,13956943.0,8.3
202507,인천,15845417.0,15029458.0,5.4
202508,인천,16161579.0,14945406.0,8.1
202509,인천,15393626.0,15726382.0,-2.1
202510,인천,17471072.0,15355025.0,13.8
202511,인천,15135110.0,13630480.0,11.0
202512,인천,15176378.0,14953648.0,1.5
202301,전남,10612343.0,7100548.0,49.5
202302,전남,8456077.0,8822317.0,-4.2
202303,전남,11146737.0,9556764.0,16.6
202304,전남,11018892.0,8941902.0,23.2
202305,전남,11478579.0,10034230.0,14.4
202306,전남,10039306.0,9021796.0,11.3
202307,전남,10443545.0,9819845.0,6.4
202308,전남,11728479.0,10712268.0,9.5
202309,전남,11959423.0,11267938.0,6.1
202310,전남,12467774.0,10667002.0,16.9
202311,전남,9651887.0,9654754.0,-0.0
202312,전남,9424076.0,8837608.0,6.6
202401,전남,8769432.0,9842752.0,-10.9
202402,전남,10735067.0,8033060.0,33.6
202403,전남,11385854.0,9131980.0,24.7
202404,전남,10578074.0,9694384.0,9.1
202405,전남,11526112.0,10347134.0,11.4
202406,전남,9936570.0,10274856.0,-3.3
202407,전남,10180947.0,15398016.0,-33.9
202408,전남,11818660.0,11887292.0,-0.6
202409,전남,12067006.0,11863880.0,1.7
202410,전남,10604052.0,11735633.0,-9.6
202411,전남,10038032.0,9998443.0,0.4
202412,전남,9138115.0,8592804.0,6.4
202501,전남,11220489.0,10612343.0,5.7
202502,전남,7731437.0,8456077.0,-8.6
202503,전남,11258317.0,11146737.0,1.0
202504,전남,10244154.0,11018892.0,-7.0
202505,전남,13199032.0,11478579.0,15.0
202506,전남,10468944.0,10039306.0,4.3
202507,전남,10972748.0,10443545.0,5.1
202508,전남,12199166.0,11728479.0,4.0
202509,전남,9819310.0,11959423.0,-17.9
202510,전남,15113644.0,12467774.0,21.2
202511,전남,10697522.0,9651887.0,10.8
202512,전남,9769798.0,9424076.0,3.7
202301,전북,8259524.0,5240900.0,57.6
202302,전북,6544125.0,6392701.0,2.4
202303,전북,8103039.0,6933574.0,16.9
202304,전북,7583096.0,6152139.0,23.3
202305,전북,8218654.0,7259158.0,13.2
202306,전북,7425761.0,6341030.0,17.1
202307,전북,7858092.0,7152834.0,9.9
202308,전북,8794499.0,7806208.0,12.7
202309,전북,9308901.0,8252055.0,12.8
202310,전북,9104504.0,7837865.0,16.2
202311,전북,7656243.0,7375284.0,3.8
202312,전북,7195510.0,6400698.0,12.4
202401,전북,6829340.0,7373170.0,-7.4
202402,전북,8398047.0,5917492.0,41.9
202403,전북,8434657.0,6616316.0,27.5
202404,전북,7485709.0,6472326.0,15.7
202405,전북,8443432.0,7307083.0,15.6
202406,전북,7503909.0,7831708.0,-4.2
202407,전북,7458829.0,12269390.0,-39.2
202408,전북,8899079.0,8601078.0,3.5
202409,전북,9483040.0,9014960.0,5.2
202410,전북,8243739.0,8732300.0,-5.6
202411,전북,8164160.0,7787248.0,4.8
202412,전북,6952264.0,6480075.0,7.3
202501,전북,8679636.0,8259524.0,5.1
202502,전북,6129106.0,6544125.0,-6.3
202503,전북,8511468.0,8103039.0,5.0
202504,전북,7384286.0,7583096.0,-2.6
202505,전북,10200606.0,8218654.0,24.1
202506,전북,7956322.0,7425761.0,7.1
202507,전북,8314058.0,7858092.0,5.8
202508,전북,9399484.0,8794499.0,6.9
202509,전북,7971775.0,9308901.0,-14.4
202510,전북,11491386.0,9104504.0,26.2
202511,전북,8734796.0,7656243.0,14.1
202512,전북,7356657.0,7195510.0,2.2
202301,제주,5372801.0,3090038.0,73.9
202302,제주,4931644.0,3866670.0,27.5
202303,제주,5266828.0,4788962.0,10.0
202304,제주,5061833.0,5049282.0,0.2
202305,제주,5146428.0,5319930.0,-3.3
202306,제주,4972198.0,5171156.0,-3.8
202307,제주,5186937.0,5643442.0,-8.1
202308,제주,5761396.0,5213586.0,10.5
202309,제주,4600320.0,4507808.0,2.0
202310,제주,5378362.0,5768480.0,-6.8
202311,제주,4494056.0,5587964.0,-19.6
202312,제주,4456270.0,5276750.0,-15.6
202401,제주,5006330.0,6021704.0,-16.9
202402,제주,4484270.0,5053475.0,-11.3
202403,제주,4980832.0,4804996.0,3.7
202404,제주,4838876.0,5376738.0,-10.0
202405,제주,4948328.0,5353484.0,-7.6
202406,제주,4620595.0,5830584.0,-20.8
202407,제주,5017078.0,8006250.0,-37.3
202408,제주,5584425.0,6506731.0,-14.2
202409,제주,4703055.0,5045789.0,-6.8
202410,제주,4945717.0,6094980.0,-18.9
202411,제주,4403266.0,5252712.0,-16.2
202412,제주,4396102.0,4796743.0,-8.4
202501,제주,4749304.0,5372801.0,-11.6
202502,제주,3724602.0,4931644.0,-24.5
202503,제주,4389290.0,5266828.0,-16.7
202504,제주,4488715.0,5061833.0,-11.3
202505,제주,5287975.0,5146428.0,2.8
202506,제주,4781322.0,4972198.0,-3.8
202507,제주,5423733.0,5186937.0,4.6
202508,제주,5782984.0,5761396.0,0.4
202509,제주,4841711.0,4600320.0,5.2
202510,제주,5905109.0,5378362.0,9.8
202511,제주,4999656.0,4494056.0,11.2
202512,제주,4895485.0,4456270.0,9.9
202301,충남,12629928.0,8811764.0,43.3
202302,충남,11278113.0,10326004.0,9.2
202303,충남,14860090.0,12024418.0,23.6
202304,충남,13524164.0,11461608.0,18.0
202305,충남,14439698.0,12626621.0,14.4
202306,충남,13361870.0,11506940.0,16.1
202307,충남,13292548.0,12133824.0,9.6
202308,충남,14769002.0,12830545.0,15.1
202309,충남,16181560.0,14008796.0,15.5
202310,충남,15880568.0,13886954.0,14.4
202311,충남,12601264.0,12122814.0,4.0
202312,충남,11996369.0,10800100.0,11.1
202401,충남,11568700.0,11582148.0,-0.1
202402,충남,13151092.0,9813254.0,34.0
202403,충남,15301636.0,12180794.0,25.6
202404,충남,14047268.0,12778552.0,9.9
202405,충남,14201551.0,14383915.0,-1.3
202406,충남,13383122.0,13152013.0,1.8
202407,충남,13165198.0,14134498.0,-6.9
202408,충남,14730740.0,14464933.0,1.8
202409,충남,15944562.0,15828110.0,0.7
202410,충남,14865382.0,15424031.0,-3.6
202411,충남,13252918.0,12910660.0,2.6
202412,충남,11856240.0,10997724.0,7.8
202501,충남,13058787.0,12629928.0,3.4
202502,충남,11578287.0,11278113.0,2.7
202503,충남,14764428.0,14860090.0,-0.6
202504,충남,13381154.0,13524164.0,-1.1
202505,충남,16634100.0,14439698.0,15.2
202506,충남,13540062.0,13361870.0,1.3
202507,충남,13992657.0,13292548.0,5.3
202508,충남,16535452.0,14769002.0,12.0
202509,충남,15404784.0,16181560.0,-4.8
202510,충남,18236568.0,15880568.0,14.8
202511,충남,14976101.0,12601264.0,18.8
202512,충남,13301463.0,11996369.0,10.9
202301,충북,8619737.0,5921206.0,45.6
202302,충북,7548436.0,6900072.0,9.4
202303,충북,10033978.0,8101580.0,23.8
202304,충북,9069074.0,7685895.0,18.0
202305,충북,9818924.0,8492057.0,15.6
202306,충북,9187822.0,7866456.0,16.8
202307,충북,9476890.0,8506648.0,11.4
202308,충북,10269494.0,8601481.0,19.4
202309,충북,10832350.0,9188627.0,17.9
202310,충북,10737696.0,9217733.0,16.5
202311,충북,8972064.0,8314306.0,7.9
202312,충북,8197931.0,7355170.0,11.5
202401,충북,7850714.0,7891562.0,-0.5
202402,충북,9137628.0,6662369.0,37.2
202403,충북,10304861.0,8280654.0,24.4
202404,충북,9358408.0,8487584.0,10.3
202405,충북,10080990.0,9754686.0,3.4
202406,충북,9518694.0,8822443.0,7.9
202407,충북,9286070.0,9831616.0,-5.6
202408,충북,10499062.0,10016114.0,4.8
202409,충북,10842552.0,10583706.0,2.4
202410,충북,10330705.0,10536480.0,-2.0
202411,충북,9606597.0,9121178.0,5.3
202412,충북,8188152.0,7625390.0,7.4
202501,충북,9164071.0,8619737.0,6.3
202502,충북,7716310.0,7548436.0,2.2
202503,충북,10154876.0,10033978.0,1.2
202504,충북,9296430.0,9069074.0,2.5
202505,충북,11701610.0,9818924.0,19.2
202506,충북,9968746.0,9187822.0,8.5
202507,충북,10399942.0,9476890.0,9.7
202508,충북,11401537.0,10269494.0,11.0
202509,충북,10605234.0,10832350.0,-2.1
202510,충북,12560180.0,10737696.0,17.0
202511,충북,10775572.0,8972064.0,20.1
202512,충북,9047230.0,8197931.0,10.4
